"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"✓","✓","J5","Power","Power_2x5_Vertical",1
2,"","","D3, D4","1N5819","D_SOD-323",2
3,"","","D1","BAV99,215","SOT-23",1
4,"","","A1","Arduino_Nano_v3.x","Arduino_Nano",1
5,"","","C7, C9, C10, C12, C13","100n","C_0402_1005Metric",5
6,"","","C1, C2, C3, C4","220p","C_0402_1005Metric",4
7,"","","C8, C11","10u","CP_EIA-3216-18_Kemet-A",2
8,"","","C5","6.8n","C_0402_1005Metric",1
9,"","","C6","10n","C_0402_1005Metric",1
10,"","","R9, R11, R13, R14, R15, R17, R18, R19, R20","10k","R_0402_1005Metric",9
11,"","","R1, R2, R3, R4","470R","R_0402_1005Metric",4
12,"","","R7, R10, R16, R21","1k","R_0402_1005Metric",4
13,"","","R5","13k","R_0603_1608Metric",1
14,"","","R6","27k","R_0402_1005Metric",1
15,"","","R8","300R","R_0402_1005Metric",1
16,"","","R12","100k","R_0402_1005Metric",1
17,"","","U1, U2","TL072","SOIC-8_3.9x4.9mm_P1.27mm",2
